Company Name,Other income,Profit after tax,Total capital,Reserves and funds,Deposits (accepted by commercial banks),Current liabilities & provisions,Income from financial services,Other income.1,Profit after tax.1,Total capital.1,Reserves and funds.1,Deposits (accepted by commercial banks).1,Current liabilities & provisions.1,Income from financial services.1,Other income.2,Profit after tax.2,Total capital.2,Reserves and funds.2,Deposits (accepted by commercial banks).2,Current liabilities & provisions.2,Income from financial services.2,Other income.3,Profit after tax.3,Total capital.3,Reserves and funds.3,Deposits (accepted by commercial banks).3,Current liabilities & provisions.3,Income from financial services.3,Other income.4,Profit after tax.4,Total capital.4,Reserves and funds.4,Deposits (accepted by commercial banks).4,Current liabilities & provisions.4,Income from financial services.4,Other income.5,Profit after tax.5,Total capital.5,Reserves and funds.5,Deposits (accepted by commercial banks).5,Current liabilities & provisions.5,Income from financial services.5,Other income.6,Profit after tax.6,Total capital.6,Reserves and funds.6,Deposits (accepted by commercial banks).6,Current liabilities & provisions.6,Income from financial services.6
A B Bank Ltd.,-0.401343375,-0.008861889,-0.509338929,-0.297742796,-0.306801402,-0.272583716,-0.300139572,-0.357027146,-0.031038603,-0.485266209,-0.288735975,-0.285411918,-0.278662914,-0.298423769,-0.295337158,-0.071136923,-0.42963838,-0.281348617,-0.272829216,-0.2891009,-0.292915219,-0.258530523,-0.198388993,-0.430715572,-0.273998644,-0.268706513,-0.29950967,-0.289096321,-0.264430545,-0.216699593,-0.428649759,-0.273556816,-0.266837661,-0.257745075,-0.280252928,-0.242119754,-0.193810781,-0.447734189,-0.268244619,-0.267775532,-0.246829674,-0.267582933,-0.261581768,-0.220151423,-0.467079409,-0.253949575,-0.271964863,-0.258920158,-0.267582933
A P Mahesh Co-Operative Urban Bank Ltd.,0,-1.39E-17,0,4.71E-17,0,0,-0.297468803,-0.3575041,-0.030394585,-0.506745034,-0.287398508,-0.284644441,-0.277402433,-0.297797835,-0.295536463,-0.071867021,-0.443646509,-0.279831863,-0.272119934,-0.289180476,-0.292439678,-0.261252279,-0.200087405,-0.443695336,-0.272664626,-0.268055429,-0.299857509,-0.288519444,-0.265305862,-0.217826143,-0.43991667,-0.272379959,-0.266031569,-0.257891398,-0.279659838,-0.243982465,-0.194775522,-0.458237652,-0.26750201,-0.267029332,-0.246318627,-0.26675976,-0.262909799,-0.219394257,-0.476600483,-0.253155511,-0.271013588,-0.258266922,-0.26675976
A U Small Finance Bank Ltd.,0.090979113,0.130595771,-0.26329651,-0.196824905,-0.270472955,-0.194488273,-0.156197458,-0.10303918,0.138516223,-0.163173643,-0.162918275,-0.202847318,-0.155464126,-0.102597046,-0.172295986,0.171389857,-0.289062438,-0.108512239,-0.174508997,-0.196625114,-0.060416638,-0.090872857,0.20212966,-0.293314776,-0.05835244,-0.15418145,-0.152967707,-0.047334674,-0.012478003,0.069564228,-0.30628556,-0.042745256,-0.114713001,-0.096518042,-0.001149367,-0.172451343,0.068360289,-0.178293615,0.018025168,-0.086446899,-0.082151168,0.015049158,-0.218635969,-0.005014973,-0.214814861,0.002237853,-0.069927153,-0.084040643,0.015049158
Abhyudaya Co-Op. Bank Ltd.,-0.396750418,0.023310856,-0.46712829,-0.254932125,-0.2770139,-0.258913268,-0.258796594,-0.356239137,0.026018638,-0.446626776,-0.245037126,-0.251573273,-0.256695273,-0.25774214,-0.294739245,-0.050686927,-0.395712607,-0.220632847,-0.238131308,-0.26927166,-0.250862484,-0.260394067,-0.18226958,-0.39290951,-0.224412331,-0.237953784,-0.275757497,-0.250795836,-0.265967687,-0.204345858,-0.39469933,-0.228098616,-0.237015648,-0.237327096,-0.248698145,-0.242249533,-0.188550911,-0.394403977,-0.23522348,-0.239770832,-0.235794191,-0.245156397,-0.262460974,-0.217947352,-0.414928987,-0.22571183,-0.246798101,-0.24690919,-0.245156397
Abu Dhabi Commercial Bank Ltd.,-0.402007097,-0.003480996,-0.33123714,-0.294374037,-0.304093193,-0.269072579,-0.29456641,-0.354435009,-0.031102548,-0.350525874,-0.28563921,-0.278921018,-0.268534761,-0.291944088,-0.295712319,-0.068768647,-0.334896699,-0.277967869,-0.265973534,-0.281919874,-0.28640166,-0.261669124,-0.195243658,-0.340835692,-0.270689358,-0.26248474,-0.293541415,-0.282033761,-3.03E-17,-0.215005936,-0.349380723,-0.269836346,-0.258950154,-0.253727162,-0.275135162,0,-0.192513371,-0.370705939,-0.264794654,-0.262081524,-0.243328447,-0.26354561,-0.2634447,-0.221405876,-0.395236407,-0.2513115,-0.267414482,-0.255932925,-0.26354561
Ahmedabad Mercantile Cooperative Bank Ltd.,-0.401980548,-0.003343903,-0.543477413,-0.290895055,-0.305843276,-0.269643238,-0.299369549,-0.356674616,-0.028736581,-0.511040799,-0.282234056,-0.284599978,-0.276019466,-0.298170328,-0.294844759,-0.07005449,-0.447598464,-0.275322909,-0.272234608,-0.289262999,-0.292573564,-0.260810913,-0.197045421,-0.447499406,-0.268639186,-0.268033063,-0.295749938,-0.288421237,-0.266693559,-0.215726315,-0.442897404,-0.268145018,-0.266132816,-0.254832711,-0.279552253,0,-0.192729606,-0.461241087,-0.263400759,-0.267087882,-0.243913292,-0.26680517,6.99E-17,-0.218380019,-0.47902664,-0.249793298,-0.27112721,-0.256016193,-0.26680517
Airtel Payments Bank Ltd.,-0.402723916,-0.145876358,0.448289581,-0.340088258,-0.306020622,-0.240113233,-0.290369741,5.89E-17,-0.190631706,0.462122098,-0.344286613,-0.284806803,-0.209595321,-0.28070231,3.33E-17,-0.242433789,0.525934927,-0.351408023,-0.272093477,-0.246085479,-0.270597428,3.48E-17,-0.350818898,0.7155025,-0.34949619,-0.267239122,-0.253282865,-0.255812775,-3.03E-17,-0.216750684,0.589013382,-0.339661363,-0.26429964,-0.218543595,-0.24189955,0,-0.191544934,0.552251136,-0.324894658,-0.263765164,-0.20755422,-0.225736886,6.99E-17,-0.215758733,0.481109359,-0.296102264,-0.266106912,-0.194785193,-0.225736886
Allahabad Bank [Merged],0.371176025,0.567907142,-0.051273869,0.261503358,0.525061946,0.056561157,0.596802676,1.2597199,0.499444834,-0.105360429,0.245119256,0.530737719,0.180026277,0.580133945,0.028110474,0.151818884,-0.148423348,0.235660975,0.457668838,0.200284612,0.481520627,0.061668034,-0.457250428,-0.142749504,0.215219244,0.371955043,0.065250869,0.441574018,0.082002866,-0.299144677,-0.117495458,0.162448995,0.318126091,0.056859049,0.282344464,0.431211778,-1.05944382,-0.102441925,-0.006726164,0.291418115,0.024596816,0.152140448,0.366152406,-1.391329378,0.354881315,-0.10290563,0.225095622,-0.020682566,0.152140448
American Express Bank Ltd.,-0.389741513,-0.023432896,-0.530409625,-0.288717522,-0.300973101,-0.252811975,-0.27892195,-0.351200022,-0.03153646,0,-0.280474281,-0.276422461,-0.259968528,-0.278973023,-0.29265241,-0.084042578,5.98E-17,-0.274924035,-0.264372983,-0.273035325,-0.274585145,-0.25598041,-0.209296037,-5.68E-17,-0.269594666,-0.260232418,-0.28520926,-0.271329892,-0.259925864,-0.214809236,-5.01E-17,-0.268843575,-0.260611512,-0.242128107,-0.264100817,-0.244158048,-0.185760186,0,-0.262915647,-0.262243213,-0.231667992,-0.253679352,-0.262085928,-0.213341138,9.07E-17,-0.248772575,-0.266029021,-0.244989866,-0.253679352
American Express Banking Corpn.,-0.27855479,-0.047933339,0.440306458,-0.31878176,-0.30257597,-0.179476777,-0.257371919,-0.259749423,-0.047353721,0.23317429,-0.309817048,-0.281347681,-0.174514679,-0.247992351,-0.214489905,-0.055902948,0.154740558,-0.298269998,-0.267996645,-0.100964801,-0.227083568,-0.183118289,-0.173198751,0.26166003,-0.285590829,-0.263996226,-0.11207742,-0.211015695,-0.178179791,-0.211843421,0.330116589,-0.282607376,-0.260985245,-0.076754179,-0.208969626,-0.168840434,-0.194503842,0.289583264,-0.276139631,-0.262586186,-0.143261898,-0.235952755,-0.213065619,-0.262284442,0.40216745,-0.266404984,-0.266319979,-0.207777889,-0.235952755
Andhra Bank [Merged],0.88901199,0.618788159,0.007635049,0.107766838,0.269167356,-0.043961175,0.364300861,0.812628084,0.163075684,-0.071682829,0.096964045,0.321054601,-0.002184922,0.398342899,0.402404181,0.158189984,-0.131863025,0.123349751,0.312487249,0.032387423,0.39697712,0.683037382,-0.015198192,-0.109126921,0.100598166,0.287787335,-0.019100133,0.416588989,0.697350754,-0.174521655,-0.145026522,0.069849664,0.299485945,0.144530197,0.306440512,0.663707009,-0.826235302,0.049351303,-0.001277101,0.276922302,-0.015806355,0.191651122,0.550853161,-0.611991448,0.669188465,-0.032610232,0.237826628,-0.007328904,0.191651122
